icao_id,name,state,wban_id,wmo_id,lat,lng,elevation_feet
PADK,"Adak Island, Adak Airport",AK,25704,70454,51.87778,-176.64583,0.0
PADQ,"Kodiak, Kodiak Airport",AK,25501,70350,57.75,-152.5,5.0
PAFM,"Ambler, Ambler Airport",AK,26551,,67.1,-157.85,88.09
PAGN,Angoon,AK,25310,70383,57.5,-134.58333,8.53
PAWI,"Wainwright, Wainwright Airport",AK,27503,70030,70.63333,-159.85,12.47
PAKN,"King Salmon, King Salmon Airport",AK,25503,70326,58.67667,-156.64917,8.41
PAKP,"Anaktuvuk Pass, Anaktuvuk Pass Airport",AK,26542,,68.13361,-151.74333,640.08
PAKW,Klawock - Klawock Airport,AK,25367,,55.5839,-133.067,20.83
PANC,"Anchorage, Ted Stevens Anchorage International Airport",AK,26451,70273,61.17444,-149.99611,37.96
PANI,"Aniak, Aniak Airport",AK,26516,70232,61.58139,-159.54278,25.91
PANV,"Anvik, Anvik Airport",AK,26644,,62.64833,-160.18972,26.82
PAPB,"St. George, St. George Airport",AK,25628,,56.57861,-169.66139,32.0
PARC,"Arctic Village, Arctic Village Airport",AK,46405,,68.11444,-145.57917,0.0
PAZK,"Eureka, Skelton Airport",AK,46407,,61.93333,-147.16667,1002.49
PABV,"Birchwood, Birchwood Airport",AK,26497,,61.41667,-149.51667,29.26
PABE,"Bethel, Bethel Airport",AK,26615,70219,60.77972,-161.83778,33.01
PABI,"Delta Junction/Ft Greely, Allen Army Airfield",AK,26415,70267,64.0,-145.73333,388.09
PABR,Wiley Post-Will Rogers Memorial Airport,AK,27502,70026,71.28528,-156.76583,11.89
PABA,"Barter Island, Barter Island LRRS Airport",AK,27401,70086,70.13389,-143.57694,0.0
PABT,"Bettles, Bettles Airport",AK,26533,70174,66.91667,-151.51667,196.53
PABL,"Buckland, Buckland Airport",AK,26645,,65.98222,-161.15194,9.14
PACD,"Cold Bay, Cold Bay Airport",AK,25624,70316,55.22083,-162.72778,25.3
PACV,"Cordova, Merle K (Mudhole) Smith Airport",AK,26410,70296,60.49167,-145.47778,14.67
PADL,"Dillingham, Dillingham Airport",AK,25513,70321,59.05,-158.51667,26.21
PADU,"Unalaska, Unalaska Airport",AK,25616,,53.9,-166.53333,3.05
PAEG,"Eagle, Eagle Airport",AK,26422,,64.77639,-141.15083,277.32
PAEL,Elfin Cove - Elfin Cove Seaplane Base,AK,25357,,58.19467,-136.34663,6.1
PAEN,"Kenai, Kenai Municipal Airport",AK,26523,70259,60.57306,-151.245,30.16
PAEM,"Emmonak, Emmonak Airport",AK,26650,,62.78333,-164.5,4.27
PANN,Nenana Municipal Airport,AK,26435,70260,64.54796,-149.08398,110.08
PAFA,"Fairbanks, Fairbanks International Airport",AK,26411,70261,64.80389,-147.87611,133.69
PFYU,"Fort Yukon, Fort Yukon Airport",AK,26413,70194,66.56667,-145.26667,135.64
PAGA,"Galena, Edward G. Pitka Sr. Airport",AK,26501,70222,64.73333,-156.93333,0.0
PAGM,"Gambell, Gambell Airport",AK,26703,,63.76667,-171.73333,8.53
PAGB,"Galbraith Lake, Galbraith Lake Airport",AK,26465,,68.48333,-149.48333,812.6
PAGK,"Gulkana, Gulkana Airport",AK,26425,70271,62.15,-145.45,481.07
PAGS,"Gustavus, Gustavus Airport",AK,25322,70367,58.41667,-135.7,12.19
PAHN,Haines - Haines Airport,AK,25323,,59.2429,-135.5114,6.36
PAHO,"Homer, Homer Airport",AK,25507,70341,59.65,-151.48333,19.11
PAHP,"Hooper Bay, Hooper Bay Airport",AK,26651,,61.51667,-166.13333,5.49
PAHY,Hydaburg - Hydaburg Seaplane Base,AK,25376,,55.2,-132.83333,0.0
PAEC,"Chulitna, Chulitna Airport",AK,26641,,62.88333,-149.83333,27.38
PAIL,"Iliamna, Iliamna Airport",AK,25506,70340,59.75,-154.9,46.4
PAIN,"McKinley Park, McKinley National Park Airport",AK,46403,,63.73333,-148.91667,524.26
PAJN,"Juneau, Juneau International Airport",AK,25309,70381,58.35472,-134.57611,5.89
PAFE,Kake - Kake Airport,AK,25369,,56.964,-133.913,52.43
PASM,"St. Mary's, St. Mary's Airport",AK,26647,,62.05,-163.3,95.1
PAKT,"Ketchikan, Ketchikan International Airport",AK,25325,70395,55.35556,-131.71361,25.73
PALH,"Anchorage, Lake Hood Seaplane Base",AK,26491,,61.18333,-149.96667,25.09
PAMC,"McGrath, McGrath Airport",AK,26510,70231,62.96667,-155.61667,102.99
PAMD,Middleton Island Airport,AK,25402,70343,59.4423,-146.3166,0.0
PAMH,"Minchumina, Minchumina Airport",AK,26512,70246,63.88056,-152.30056,0.0
